Title;Kernel: Linear, Cluster Number: 50, C Parameter: 10;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;headphone;snoopy;soccer_ball;strawberry;windsor_chair;yin_yang;barrel;camera;car_side;dalmatian;ferry;lamp;pizza;pyramid;stop_sign;sunflower;water_lilly;Mean F1 Score;
Value;0.41;0.22;0.29;0;0.4;0.56;0;0.5;0.1;0.44;0;0;0;0;0;0;0;0;0;0;0;0.292542216;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 50, C Parameter: 100;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;ferry;headphone;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;lamp;pizza;Mean F1 Score;
Value;0.39;0.32;0.42;0;0.63;0.33;0;0.4;0.14;0.63;0;0.4;0.4;0.4;0.17;0.57;0.58;0;0;0;0;0.340779905;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 50, C Parameter: 200;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;camera;car_side;dalmatian;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;ferry;lamp;Mean F1 Score;
Value;0.36;0.3;0.44;0;0;0.45;0.38;0.49;0.17;0.08;0.59;0;0.48;0.32;0.32;0;0.58;0.52;0;0;0;0.304363185;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 50, C Parameter: 500;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;barrel;car_side;dalmatian;ferry;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;camera;lamp;Mean F1 Score;
Value;0.46;0.27;0.19;0;0;0.68;0.48;0.1;0.36;0.25;0.14;0.6;0;0.32;0.52;0.36;0.24;0.48;0.48;0;0;0.31192573;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 100, C Parameter: 10;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;headphone;snoopy;strawberry;yin_yang;barrel;camera;car_side;dalmatian;ferry;lamp;pizza;pyramid;soccer_ball;stop_sign;sunflower;water_lilly;windsor_chair;Mean F1 Score;
Value;0.39;0.22;0.19;0;0.29;0.33;0.43;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0.306731624;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 100, C Parameter: 100;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;ferry;lamp;Mean F1 Score;
Value;0.41;0.3;0.33;0;0.65;0.46;0.39;0.09;0.09;0.67;0;0.26;0.55;0.47;0.31;0.55;0.37;0;0;0;0;0.346882257;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 100, C Parameter: 200;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;ferry;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;lamp;Mean F1 Score;
Value;0.41;0.3;0.42;0;0.7;0.38;0.17;0.49;0.09;0.17;0.5;0;0.46;0.58;0.5;0.4;0.53;0.58;0;0;0;0.371878186;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 100, C Parameter: 500;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;barrel;camera;car_side;dalmatian;ferry;headphone;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;Mean F1 Score;
Value;0.43;0.32;0.32;0;0;0;0.6;0.62;0.25;0.51;0;0.31;0.3;0.5;0;0.4;0.42;0.57;0.2;0.55;0.31;0.314789788;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 500, C Parameter: 10;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;headphone;strawberry;yin_yang;barrel;camera;car_side;dalmatian;ferry;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;sunflower;water_lilly;windsor_chair;Mean F1 Score;
Value;0.29;0.12;0.09;0;0.06;0.1;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.118132524;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 500, C Parameter: 100;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;headphone;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;ferry;lamp;pizza;pyramid;Mean F1 Score;
Value;0.42;0.26;0.21;0;0.1;0.1;0.33;0.37;0;0.26;0.47;0.09;0;0.33;0.38;0;0;0;0;0;0;0.22129478;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 500, C Parameter: 200;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;camera;car_side;dalmatian;ferry;headphone;lamp;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;pizza;Mean F1 Score;
Value;0.4;0.2;0.24;0;0;0.44;0.31;0;0.16;0;0.09;0.31;0;0.18;0.58;0.38;0.29;0.58;0.48;0;0;0.245260504;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Linear, Cluster Number: 500, C Parameter: 500;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;camera;car_side;dalmatian;ferry;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;lamp;Mean F1 Score;
Value;0.39;0.3;0.29;0;0.22;0.61;0.57;0;0.24;0.17;0.17;0.65;0;0.38;0.39;0.33;0.17;0.4;0.22;0;0;0.289811551;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 50, C Parameter: 10;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;barrel;camera;car_side;dalmatian;ferry;headphone;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;Mean F1 Score;
Value;0.5;0.4;0.46;0;0;0.32;0.55;0.56;0.18;0.41;0;0.32;0.14;0.69;0;0.5;0.31;0.7;0.3;0.57;0.59;0.356496146;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 50, C Parameter: 100;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;camera;car_side;dalmatian;ferry;headphone;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;Mean F1 Score;
Value;0.55;0.4;0.26;0;0.25;0.6;0.57;0.09;0.35;0;0.22;0.23;0.63;0;0.48;0.4;0.62;0.29;0.73;0.61;0;0.363565462;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 50, C Parameter: 200;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;barrel;camera;car_side;dalmatian;ferry;headphone;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;Mean F1 Score;
Value;0.58;0.33;0.33;0;0;0.17;0.68;0.72;0.18;0.34;0;0.52;0.4;0.72;0;0.71;0.33;0.56;0.21;0.79;0.61;0.390334328;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 50, C Parameter: 500;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;barrel;camera;car_side;dalmatian;ferry;headphone;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;Mean F1 Score;
Value;0.5;0.43;0.38;0;0;0.33;0.7;0.76;0.08;0.43;0;0.38;0.25;0.65;0;0.55;0.41;0.63;0.3;0.69;0.76;0.392292488;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 100, C Parameter: 10;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;camera;car_side;dalmatian;ferry;headphone;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;Mean F1 Score;
Value;0.49;0.39;0.41;0;0.17;0.67;0.73;0.26;0.57;0;0.09;0.24;0.84;0;0.55;0.41;0.79;0.21;0.67;0.71;0;0.410079371;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 100, C Parameter: 100;Kernel: Chi-Squared, Cluster Number: 100, C Parameter: 100;Kernel: Chi-Squared, Cluster Number: 100, C Parameter: 100;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;camera;car_side;dalmatian;ferry;headphone;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;Mean F1 Score;
Value;0.58;0.38;0.37;0;0.08;0.65;0.62;0.18;0.37;0;0.44;0.48;0.67;0;0.46;0.52;0.72;0.27;0.62;0.67;0;0.403342358;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 100, C Parameter: 200;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;camera;car_side;dalmatian;ferry;headphone;lamp;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;Mean F1 Score;
Value;0.53;0.36;0.38;0;0.09;0.63;0.62;0.1;0.36;0;0.17;0.17;0.74;0;0.62;0.31;0.69;0.32;0.75;0.56;0;0.370197555;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 100, C Parameter: 500;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;barrel;camera;car_side;dalmatian;ferry;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;lamp;Mean F1 Score;
Value;0.6;0.35;0.42;0;0.18;0.31;0.67;0.82;0.1;0.43;0.38;0.2;0.55;0;0.62;0.48;0.74;0.52;0.62;0.45;0;0.421867663;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 500, C Parameter: 10;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;headphone;pizza;snoopy;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;ferry;lamp;pyramid;soccer_ball;Mean F1 Score;
Value;0.53;0.26;0.32;0;0.57;0.1;0.31;0.17;0.34;0.26;0.14;0.65;0.14;0.18;0.38;0;0;0;0;0;0;0.290927434;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 500, C Parameter: 100;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;headphone;pizza;snoopy;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;ferry;lamp;pyramid;soccer_ball;Mean F1 Score;
Value;0.48;0.22;0.22;0;0.69;0.4;0.18;0.26;0.53;0.26;0.32;0.25;0.12;0.18;0.18;0;0;0;0;0;0;0.287004739;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 500, C Parameter: 200;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;headphone;pizza;pyramid;snoopy;soccer_ball;stop_sign;strawberry;sunflower;water_lilly;windsor_chair;yin_yang;barrel;camera;ferry;lamp;Mean F1 Score;
Value;0.57;0.2;0.18;0;0.7;0.52;0.2;0.33;0.1;0.3;0;0.26;0.37;0.59;0.3;0.26;0.46;0;0;0;0;0.313513252;
;;;;;;;;;;;;;;;;;;;;;;;
Title;Kernel: Chi-Squared, Cluster Number: 500, C Parameter: 500;;;;;;;;;;;;;;;;;;;;;;
Class;Faces;airplanes;anchor;background_class;car_side;dalmatian;headphone;pizza;snoopy;stop_sign;strawberry;sunflower;windsor_chair;yin_yang;barrel;camera;ferry;lamp;pyramid;soccer_ball;water_lilly;Mean F1 Score;
Value;0.47;0.28;0.26;0;0.55;0.52;0.37;0.09;0.52;0.33;0.22;0.53;0.52;0.26;0;0;0;0;0;0;0;0.35242899;
